Year ,Gold,Silver
1964,63.25,
1965,71.75,
1966,83.75,
1967,102.5,
1968,162,
1969,176,
1970,184,
1971,193,
1972,202,
1973,278.5,
1974,506,
1975,540,
1976,432,
1977,486,
1978,685,
1979,937,
1980,1330.00,
1981,1670,2715
1982,1645.00,2720
1983,1800.00,3105
1984,1970.00,3570
1985,2130.00,3955
1986,2140.00,4015
1987,2570.00,4794
1988,3130.00,6066
1989,3140.00,6755
1990,3200.00,6463
1991,3466.00,6646
1992,4334.00,8040
1993,4140.00,5489
1994,4598.00,7124
1995,4680.00,6335
1996,5160.00,7346
1997,4725.00,7345
1998,4045.00,8560
1999,4234.00,7615
2000,4400.00,7900
2001,4300.00,7215
2002,4990.00,7875
2003,5600.00,7695
2004,5850.00,11770
2005,7000.00,10675
2007,10800.00,17405
2008,12500.00,19520
2009,14500.00,23625
2010,18500.00,22165
2011,26400.00,27255
2012,31050.00,56900
2013,29600.00,56290
2014,28006.50,54030
2015,26343.50,43070
2016,28623.50,37825
2017,29667.50,36990
2018,31438.00,37825
2019,35220.00,41400
2020,48651.00,40600
2021,48720.00,63435
2022,52670.00,62572
,,
